"","X","Y","Al","Co","Fe","Filler","Mg","Ni","Hard","Lcode","subset"
"15037",625,450,8.9,0.022,32.3,58.047,0.25,0.481,1,"FZ","validation"
"15038",625,350,6.1,0.046,38,55.002,0.21,0.642,3,"FZ","validation"
"15039",625,250,1.29,0.016,10.69,76.054,11.56,0.39,0,"SM","validation"
"15040",600,675,2,0.064,6.7,81.862,8.46,0.914,3,"UM","validation"
"15041",600,625,0.6,0.115,11.6,70.925,15.7,1.06,1,"SM","validation"
"15042",600,575,6.5,0.032,35.7,56.902,0.22,0.646,2,"FZ","validation"
"15043",600,525,7.5,0.02,29.1,63.056,0.12,0.204,1,"FZ","validation"
"15044",600,475,6.4,0.009,38,55.253,0.17,0.168,1,"FZ","validation"
"15045",600,425,0.55,0.103,11.56,84.501,2.65,0.636,0,"SM","validation"
"15046",600,375,0.6,0.026,11.2,77.085,10.4,0.689,3,"UM","validation"
"15047",600,325,8.6,0.03,34.7,55.838,0.2,0.632,3,"FZ","validation"
"15048",600,275,10,0.021,32.7,56.944,0.11,0.225,1,"FZ","validation"
"15049",600,175,1.4,0.014,8.3,75.359,14.5,0.427,2,"FZ","validation"
"15050",575,700,0.8,0.017,6.3,84.502,7.78,0.601,3,"SM","validation"
"15051",575,650,1.1,0.343,7.5,89.146,1.12,0.791,3,"UM","validation"
"15052",575,550,5.9,0.03,45.5,48.019,0.11,0.441,1,"FZ","validation"
"15053",575,500,8.2,0.017,27.8,63.619,0.15,0.214,1,"FZ","validation"
"15054",575,450,7.3,0.028,38.6,53.624,0.18,0.268,1,"FZ","validation"
"15055",575,400,1,0.026,10.8,76.427,11.2,0.547,3,"UM","validation"
"15056",575,300,6.5,0.019,22,70.948,0.24,0.293,1,"FZ","validation"
"15057",575,200,9.4,0.023,34.7,55.235,0.17,0.472,1,"FZ","validation"
"15058",550,675,0.6,0.022,6.7,84.968,7.05,0.66,3,"UM","validation"
"15059",550,625,0.8,0.05,8.9,81.385,8.09,0.775,1,"SM","validation"
"15060",550,575,4.6,0.057,46,48.667,0.1,0.576,1,"FZ","validation"
"15061",550,525,6.7,0.036,46,46.912,0.12,0.232,1,"FZ","validation"
"15062",550,475,10.9,0.003,15.5,73.438,0.1,0.059,1,"FZ","validation"
"15063",550,425,4.3,0.09,23.8,68.51,1.65,1.65,1,"SM","validation"
"15064",550,325,7.53,0.017,26.51,64.921,0.62,0.402,0,"FZ","validation"
"15065",550,275,8.1,0.018,21.4,69.612,0.34,0.53,2,"FZ","validation"
"15066",550,225,9.9,0.026,31.1,58.284,0.32,0.37,3,"FZ","validation"
"15067",550,175,10.4,0.015,23.2,65.374,0.83,0.181,1,"FZ","validation"
"15068",525,600,6.7,0.032,45.5,47.073,0.19,0.505,1,"FZ","validation"
"15069",525,500,13.54,0.008,23.59,62.6,0.14,0.122,0,"SA","validation"
"15070",525,450,10.7,0.006,25.8,63.076,0.29,0.128,3,"SA","validation"
"15071",525,400,1.7,0.071,16.3,71.812,9.33,0.787,3,"UM","validation"
"15072",525,350,0.5,0.014,8.6,77.43,13.2,0.256,2,"SM","validation"
"15073",525,300,2,0.05,15.4,75.22,6.17,1.16,1,"SM","validation"
"15074",525,250,4.8,0.047,39.3,54.125,0.84,0.888,1,"SA","validation"
"15075",525,200,11.24,0.014,26.46,61.798,0.26,0.228,0,"FZ","validation"
"15076",500,625,1.5,0.066,9.3,72.274,15.8,1.06,1,"SM","validation"
"15077",500,575,3.9,0.041,49.5,46.073,0.2,0.286,1,"FZ","validation"
"15078",500,525,7.9,0.139,40,50.983,0.44,0.538,1,"FZ","validation"
"15079",500,475,12.7,0.007,20.4,66.557,0.2,0.136,3,"SA","validation"
"15080",500,375,0.4,0.012,5.3,75.802,18.2,0.286,2,"UM","validation"
"15081",500,325,0.8,0.017,7.9,78.042,12.9,0.341,0,"UM","validation"
"15082",500,275,0.7,0.027,13.2,75.175,10.3,0.598,3,"UM","validation"
"15083",500,225,4.5,0.034,21.6,70.985,1.95,0.931,1,"FZ","validation"
"15084",475,700,0.8,0.03,12.4,69.211,16.7,0.859,3,"SM","validation"
"15085",475,650,0.7,0.072,12,75.188,10.8,1.24,1,"SM","validation"
"15086",475,600,9.2,0.021,37.7,52.658,0.13,0.291,1,"FZ","validation"
"15087",475,550,7.1,0.268,40.5,51.519,0.08,0.533,1,"FZ","validation"
"15088",475,500,5.7,0.085,49.4,43.959,0.37,0.486,3,"FZ","validation"
"15089",475,450,5.2,0.008,51.7,42.815,0.12,0.157,3,"FZ","validation"
"15090",475,400,2.1,0.026,22.1,73.403,1.47,0.901,1,"SM","validation"
"15091",475,350,0.7,0.016,7.4,75.225,16.3,0.359,3,"UM","validation"
"15092",475,250,2,0.019,7.4,84.545,5.75,0.286,2,"SM","validation"
"15093",450,675,1.4,0.035,10.8,71.605,14.6,1.56,1,"SM","validation"
"15094",450,625,2.8,2.13,20,69.41,2.21,3.45,1,"FZ","validation"
"15095",450,575,6.28,0.134,38.19,55.082,0.09,0.224,0,"FZ","validation"
"15096",450,525,8.2,0.018,35.5,55.588,0.37,0.324,2,"FZ","validation"
"15097",450,425,3.1,0.031,29.5,65.099,1.21,1.06,1,"SA","validation"
"15098",450,325,1.3,0.035,11.2,73.668,13.3,0.497,3,"UM","validation"
"15099",450,275,1.08,0.034,12.8,72.685,12.9,0.501,0,"SM","validation"
"15100",450,225,7.6,0.04,36.8,54.698,0.43,0.432,1,"FZ","validation"
"15101",425,700,0.7,0.022,9.4,77.18,11.8,0.898,1,"SM","validation"
"15102",425,650,1.5,0.192,12.8,80.421,4.11,0.977,2,"SM","validation"
"15103",425,600,9.5,0.017,37.6,52.513,0.07,0.3,3,"SM","validation"
"15104",425,550,6.4,0.048,42.2,50.658,0.25,0.444,2,"FZ","validation"
"15105",425,500,5.1,0.018,46.5,47.674,0.14,0.568,3,"FZ","validation"
"15106",425,450,7.6,0.004,36.5,55.728,0.1,0.068,2,"FZ","validation"
"15107",425,400,3,0.044,18.4,75.906,1.51,1.14,1,"SM","validation"
"15108",425,350,3.1,0.032,16.2,77.698,2.27,0.7,2,"SM","validation"
"15109",425,300,5.9,0.005,17,76.577,0.45,0.068,0,"FZ","validation"
"15110",425,250,10.3,0.004,23.1,66.142,0.31,0.144,1,"FZ","validation"
"15111",400,625,9.2,0.08,38.1,51.997,0.17,0.453,2,"FZ","validation"
"15112",400,575,7.6,0.049,40.8,51.063,0.14,0.348,2,"FZ","validation"
"15113",400,525,4.6,0.023,46.9,47.578,0.18,0.719,3,"FZ","validation"
"15114",400,475,8.4,0.038,32.8,58.131,0.28,0.351,1,"FZ","validation"
"15115",400,375,3.3,0.044,33.4,60.892,1.41,0.954,1,"SA","validation"
"15116",400,325,1.3,0.035,15.2,77.346,5.4,0.719,2,"SM","validation"
"15117",400,275,8.3,0.012,18.8,71.362,1.2,0.326,1,"FZ","validation"
"15118",400,225,7.8,0.01,29.9,61.314,0.73,0.246,3,"FZ","validation"
"15119",375,700,0.8,0.02,8.6,81.37,8.12,1.09,1,"SM","validation"
"15120",375,650,11.5,0.029,35.7,52.35,0.18,0.241,1,"FZ","validation"
"15121",375,600,7.2,0.107,43.5,48.603,0.18,0.41,2,"FZ","validation"
"15122",375,500,5.5,0.021,45.5,48.31,0.16,0.509,1,"FZ","validation"
"15123",375,450,2.6,0.044,43.5,52.438,0.57,0.848,1,"SM","validation"
"15124",375,400,7.6,0.017,41,50.742,0.19,0.451,1,"FZ","validation"
"15125",375,350,4.99,0.03,33.72,60.26,0.57,0.43,0,"SA","validation"
"15126",375,250,12.4,0.009,22.4,64.638,0.3,0.253,1,"SA","validation"
"15127",375,200,9.85,0.017,29.82,58.916,1.18,0.217,0,"FZ","validation"
"15128",350,725,0.5,0.017,7.2,76.105,15.5,0.678,2,"SM","validation"
"15129",350,675,4.5,0.061,35.7,58.079,0.59,1.07,3,"SM","validation"
"15130",350,625,6.6,0.349,37.8,52.711,1.04,1.5,2,"FZ","validation"
"15131",350,575,4.6,0.803,19.2,71.487,1.79,2.12,1,"SM","validation"
"15132",350,525,9,0.299,34.2,55.671,0.27,0.56,2,"FZ","validation"
"15133",350,475,2.3,0.062,17.4,77.388,1.21,1.64,1,"SA","validation"
"15134",350,425,3.1,0.063,19.8,73.967,1.65,1.42,2,"SM","validation"
"15135",350,375,6.7,0.023,46.5,46.054,0.25,0.473,1,"FZ","validation"
"15136",350,325,4.4,0.022,27.2,66.866,0.98,0.532,1,"SM","validation"
"15137",350,275,5.7,0.023,26.7,65.5,1.32,0.757,1,"FZ","validation"
"15138",350,225,10.8,0.03,29.1,59.625,0.17,0.275,1,"FZ","validation"
"15139",350,175,10.5,0.03,37.6,51.276,0.2,0.394,1,"FZ","validation"
"15140",325,750,1.2,0.035,8.8,78.437,10.8,0.728,1,"SM","validation"
"15141",325,700,1,0.051,14.7,73.299,9.5,1.45,1,"SM","validation"
"15142",325,650,4.9,0.054,30.7,61.756,1.13,1.46,2,"FZ","validation"
"15143",325,550,2.8,0.062,12.8,74.198,8.77,1.37,2,"SM","validation"
"15144",325,450,2.3,0.212,21,70.758,3.55,2.18,1,"SA","validation"
"15145",325,400,2.4,0.141,18.3,68.744,9.54,0.875,2,"SM","validation"
"15146",325,200,10.5,0.068,26.2,62.814,0.08,0.338,1,"FZ","validation"
"15147",325,150,7.7,0.032,34.7,56.881,0.14,0.547,1,"FZ","validation"
"15148",300,725,0.6,0.051,14.1,67.389,16.3,1.56,1,"SM","validation"
"15149",300,675,4.9,0.057,45.9,48.209,0.14,0.794,1,"FZ","validation"
"15150",300,625,7,0.05,39.1,52.761,0.4,0.689,1,"FZ","validation"
"15151",300,575,6.8,0.067,45.2,46.909,0.24,0.784,2,"FZ","validation"
"15152",300,525,3.2,0.322,26.3,64.108,3.72,2.35,1,"SM","validation"
"15153",300,475,1.1,0.042,10.4,70.364,17.3,0.794,1,"SM","validation"
"15154",300,425,2.14,0.058,18.97,70.452,6.83,1.55,0,"SA","validation"
"15155",300,375,4.3,0.027,25.7,68.081,1.2,0.692,1,"FZ","validation"
"15156",300,325,6.6,0.009,13.1,78.156,1.85,0.285,1,"SA","validation"
"15157",300,225,12.5,0.007,26.4,60.72,0.25,0.123,1,"FZ","validation"
"15158",300,175,7.4,0.025,34.5,57.627,0.11,0.338,1,"FZ","validation"
"15159",275,750,0.5,0.023,7.5,72.966,18.1,0.911,3,"SM","validation"
"15160",275,700,2.9,0.135,29.9,63.985,1.4,1.68,1,"SA","validation"
"15161",275,600,5.2,0.036,31.7,61.144,0.74,1.18,1,"SA","validation"
"15162",275,500,7.3,0.04,34.2,57.281,0.36,0.819,2,"FZ","validation"
"15163",275,450,8.7,0.034,36.6,53.917,0.27,0.479,2,"FZ","validation"
"15164",275,400,6.1,0.04,18.9,71.63,1.99,1.34,1,"SM","validation"
"15165",275,350,2.3,0.217,15.6,72.443,8.15,1.29,1,"SM","validation"
"15166",275,250,12.3,0.006,32.9,54.624,0.1,0.07,3,"FZ","validation"
"15167",275,200,5.9,0.024,31.7,62.074,0.08,0.222,1,"FZ","validation"
"15168",275,100,2.6,0.02,9.5,82.781,4.68,0.419,3,"UM","validation"
"15169",250,725,2.3,1.1,25.7,66.19,1.73,2.98,1,"SA","validation"
"15170",250,625,1.5,0.037,10.7,68.293,18.7,0.77,1,"SM","validation"
"15171",250,575,2.3,0.062,25.5,63.898,6.92,1.32,1,"SM","validation"
"15172",250,525,1.1,0.053,17.4,67.217,13,1.23,1,"SM","validation"
"15173",250,475,7.9,0.044,40.7,50.838,0.16,0.358,2,"FZ","validation"
"15174",250,425,2.5,0.182,21.4,69.788,3.75,2.38,1,"SM","validation"
"15175",250,375,2.4,0.026,23.6,70.694,1.91,1.37,1,"SA","validation"
"15176",250,325,1.6,0.03,10.9,72.485,14.4,0.585,1,"SM","validation"
"15177",250,275,9.9,0.013,28.7,61.033,0.16,0.194,1,"FZ","validation"
"15178",250,225,9.5,0.104,38.3,51.706,0.11,0.28,1,"FZ","validation"
"15179",250,75,5.7,0.005,11.9,78.734,3.59,0.071,1,"FZ","validation"
"15180",225,750,1.7,0.01,9.3,75.48,13.1,0.41,3,"FZ","validation"
"15181",225,700,6.1,0.044,44.3,48.767,0.21,0.579,2,"FZ","validation"
"15182",225,650,1.6,0.063,20.7,65.307,10.9,1.43,1,"SA","validation"
"15183",225,600,2,0.022,10.9,69.828,16.6,0.65,3,"UM","validation"
"15184",225,550,1.7,0.024,12.6,68.228,16.8,0.648,1,"SM","validation"
"15185",225,500,3.7,0.381,45.1,49.159,0.23,1.43,1,"FZ","validation"
"15186",225,450,10.9,0.182,36.7,51.715,0.13,0.373,1,"FZ","validation"
"15187",225,400,1,0.051,12,77.298,8.78,0.871,1,"SA","validation"
"15188",225,350,2.55,0.093,26.12,68.677,1.4,1.16,0,"FZ","validation"
"15189",225,300,7.2,0.009,28.1,64.447,0.12,0.124,1,"FZ","validation"
"15190",225,250,6.8,0.033,29.3,63.415,0.18,0.272,1,"FZ","validation"
"15191",225,200,8.1,0.011,29.3,62.4,0.08,0.109,1,"FZ","validation"
"15192",225,150,2.2,0.019,10.5,71.31,15.7,0.271,3,"UM","validation"
"15193",200,675,5.4,0.054,45,48.559,0.48,0.507,1,"FZ","validation"
"15194",200,625,1.5,0.039,25.6,66.241,5.05,1.57,1,"SA","validation"
"15195",200,575,2.9,0.02,14.1,73.484,8.93,0.566,3,"UM","validation"
"15196",200,525,3.4,0.191,24.8,67.209,2.73,1.67,1,"SA","validation"
"15197",200,425,7.7,0.043,33,58.833,0.17,0.254,1,"FZ","validation"
"15198",200,375,5.8,0.022,42,51.434,0.31,0.434,2,"FZ","validation"
"15199",200,325,6.9,0.023,38.9,53.559,0.39,0.228,2,"FZ","validation"
"15200",200,275,8.4,0.047,34.4,56.592,0.18,0.381,1,"FZ","validation"
"15201",200,175,2.9,0.105,20.5,70.815,4.51,1.17,1,"SM","validation"
"15202",175,750,3.6,0.026,16,70.374,8.59,1.41,1,"SM","validation"
"15203",175,700,2.2,0.403,33.5,59.337,2.07,2.49,1,"SM","validation"
"15204",175,650,4.4,0.233,42.4,51.737,0.34,0.89,1,"FZ","validation"
"15205",175,600,1.4,0.036,11.4,69.754,16.2,1.21,1,"SM","validation"
"15206",175,550,1.9,0.027,13.5,75.074,9.1,0.399,1,"SM","validation"
"15207",175,500,7.2,0.016,37.4,54.935,0.13,0.319,2,"FZ","validation"
"15208",175,450,8.5,0.013,33.3,57.723,0.28,0.184,1,"FZ","validation"
"15209",175,400,8.5,0.044,40,50.939,0.15,0.367,1,"FZ","validation"
"15210",175,350,2,0.02,11.7,74.892,11,0.388,1,"SM","validation"
"15211",175,300,5.9,0.031,35.3,58.183,0.27,0.316,1,"FZ","validation"
"15212",175,250,4.7,0.096,23.3,67.834,3,1.07,1,"SA","validation"
"15213",175,200,6.6,0.245,33.6,57.857,0.74,0.958,1,"FZ","validation"
"15214",175,150,2.5,0.031,18.3,66.809,11.3,1.06,1,"SM","validation"
"15215",150,725,0.9,0.044,15.2,66.836,15.6,1.42,1,"SM","validation"
"15216",150,625,2.6,0.283,55.7,40.258,0.29,0.869,2,"FZ","validation"
"15217",150,575,2.3,0.322,27.5,66.358,1.88,1.64,1,"SA","validation"
"15218",150,525,5,0.04,12.4,72.877,8.79,0.893,2,"SM","validation"
"15219",150,475,7,0.035,39.6,52.784,0.14,0.441,1,"FZ","validation"
"15220",150,425,8.6,0.005,21.4,68.921,0.99,0.084,1,"FZ","validation"
"15221",150,225,6.7,0.005,9,79.626,4.61,0.059,1,"SM","validation"
"15222",150,125,1.3,0.021,10.2,68.868,19,0.611,1,"SM","validation"
"15223",125,750,1.9,0.02,10.7,68.19,18.3,0.89,2,"SM","validation"
"15224",125,700,3.1,0.126,47.9,47.034,0.48,1.36,1,"FZ","validation"
"15225",125,650,4.5,0.184,52.2,42.088,0.29,0.738,2,"FZ","validation"
"15226",125,600,1.1,0.021,10.1,71.657,16.3,0.822,3,"SM","validation"
"15227",125,550,1.3,0.021,8.4,76.274,13.7,0.305,1,"SM","validation"
"15228",125,500,1.8,0.012,11.4,75.184,11.2,0.404,1,"SM","validation"
"15229",125,450,5.4,0.03,32.1,61.062,0.56,0.848,1,"SA","validation"
"15230",125,250,10.3,0.002,6.3,82.422,0.92,0.056,1,"SM","validation"
"15231",125,200,7.6,0.015,9.7,76.237,6.1,0.348,1,"SM","validation"
"15232",125,150,2.2,0.102,18.9,66.738,10.9,1.16,1,"SM","validation"
"15233",125,100,4.1,0.202,23,68.208,2.95,1.54,1,"SM","validation"
"15234",125,50,1.2,0.014,7.3,77.075,14.1,0.311,1,"SM","validation"
"15235",100,675,1.4,0.056,15,70.414,11.9,1.23,1,"SM","validation"
"15236",100,625,4.4,0.158,51,43.527,0.24,0.675,1,"FZ","validation"
"15237",100,575,1.4,0.025,11.8,72.043,14.1,0.632,2,"UM","validation"
"15238",100,175,5,0.016,6.4,79.185,9.14,0.259,2,"UM","validation"
"15239",100,75,2.93,0.025,9.83,74.868,11.66,0.687,0,"SM","validation"
"15240",100,25,5.42,0.022,25.2,67.469,1.59,0.299,3,"FZ","validation"
"15241",75,700,1,0.027,10,75.81,12.4,0.763,3,"UM","validation"
"15242",75,650,3.1,0.063,31,58.947,5.06,1.83,1,"FZ","validation"
"15243",75,150,6.5,0.023,39.5,53.646,0.1,0.231,1,"FZ","validation"
"15244",75,100,3.2,0.031,15.7,71.464,8.84,0.765,2,"SM","validation"
"15245",75,50,4.1,0.091,25.1,66.339,3.25,1.12,1,"SM","validation"
"15246",50,675,1,0.038,16.5,69.305,12.2,0.957,2,"SM","validation"
"15247",50,625,5.5,0.014,10.2,72.235,11.3,0.751,1,"UM","validation"
"15248",50,175,8.5,0.002,4,86.905,0.55,0.043,1,"SM","validation"
"15249",50,25,3.1,0.057,16.4,72.711,7.06,0.672,1,"FZ","validation"
"15250",25,700,0.9,0.02,9.1,74.357,14.8,0.823,1,"SM","validation"
"15251",25,150,1.58,0.013,10.5,76.374,11.33,0.203,0,"FZ","validation"
"15252",0,725,0.6,0.018,7.4,74.002,17.3,0.68,1,"SM","validation"
